fuel_type_1,vintage,LDV_flex_capacity,LDV_inflex_capacity,capacity_diff
cng,2025,0.0022372886064811032,0.0016249238666750836,0.0006123647398060196
cng,2030,0.001298661791883145,0.0008174665714403492,0.00048119522044279576
cng,2035,0.0014162074972365844,0.001040139691555579,0.00037606780568100553
cng,2040,0.001453428778037465,0.0008202582797546517,0.0006331704982828134
cng,2045,0.0013147105070272697,0.0007421266852376479,0.0005725838217896218
cng,2050,0.0009970971589687177,0.0008348289827891806,0.00016226817617953713
dsl,2025,0.0006155654412979051,0.0004408230010494559,0.00017474244024844922
dsl,2030,0.0004194336349238436,0.00026481164386219034,0.00015462199106165329
dsl,2035,0.00044690487064511284,0.00033890283958561726,0.00010800203105949558
dsl,2040,0.0005772270036382902,0.0003006216198527426,0.00027660538378554764
dsl,2045,0.0004490669349067584,0.0003494112543913812,9.965568051537716e-05
dsl,2050,0.00032370412857122167,0.0002439210501073229,7.978307846389875e-05
elc,2025,57.42244829534743,57.421119503967915,0.0013287913795139161
elc,2030,118.58659572501566,118.57616620122343,0.010429523792225837
elc,2035,533.0306719779066,814.4457270585201,-281.41505508061346
elc,2040,2444.488138086819,2687.5421167431195,-243.0539786563004
elc,2045,2142.37139084764,2152.4558177284903,-10.08442688085006
elc,2050,2969.038174826133,2973.4330638936367,-4.394889067503755
gsl,2025,4540.419333368665,4540.421849163746,-0.002515795080398675
gsl,2030,3092.426685334268,3092.438869919701,-0.012184585433260509
gsl,2035,4414.148291811454,4132.732700217848,281.4155915936062
gsl,2040,2899.2911220265282,2656.236823226835,243.05429879969324
gsl,2045,2212.5923822236136,2202.5445609825956,10.047821241018028
gsl,2050,2901.912190469212,2897.5199374339386,4.39225303527337
h2,2025,0.0015731823895634386,0.0008499016379083177,0.0007232807516551209
h2,2030,0.001314503561500592,0.00041956789112286097,0.000894935670377731
h2,2035,0.001355301429286014,0.0020967605031640144,-0.0007414590738780004
h2,2040,0.0024587377900704846,0.0035883487872460105,-0.0011296109971755258
h2,2045,0.06947182769741789,0.03359786323798009,0.035873964459437795
h2,2050,0.010255533050440014,0.007617697743648173,0.002637835306791841
