fuel_type_1,vintage,HDV_flex_capacity,HDV_inflex_capacity,capacity_diff
cng,2025,0.00021462009499220003,0.0001206630763735345,9.395701861866554e-05
cng,2030,5.054970174179421e-05,3.314730382317117e-05,1.740239791862304e-05
cng,2035,5.497041991271801e-05,4.030232169545305e-05,1.4668098217264958e-05
cng,2040,8.10293348063052e-05,5.2323745381443885e-05,2.8705589424861313e-05
cng,2045,6.414461213257141e-05,3.766291983948946e-05,2.648169229308195e-05
cng,2050,5.919692994090316e-05,4.363536445146688e-05,1.556156548943628e-05
dsl,2025,27.31485580734333,27.31470299431384,0.00015281302949077258
dsl,2030,7.857830446845011,7.857720278631338,0.00011016821367260121
dsl,2035,10.118210054925168,10.118080043303037,0.00013001162213122086
dsl,2040,11.45619581671741,11.456531651827081,-0.0003358351096718337
dsl,2045,7.816689078562828,7.675015967260824,0.141673111302004
dsl,2050,7.373187282971921,7.335033745005719,0.03815353796620258
elc,2025,4.330906347769352,4.328489145649473,0.002417202119878503
elc,2030,12.279663981526713,12.280791970816972,-0.001127989290258924
elc,2035,50.694033479801234,50.688509811677726,0.005523668123508685
elc,2040,59.81213950184132,59.816817364693115,-0.0046778628517927245
elc,2045,29.641393587348695,34.38293624273979,-4.741542655391093
elc,2050,61.124930521519445,60.64486129235048,0.48006922916896855
gsl,2025,2.236940474154441,2.2369286962939463,1.177786049488816e-05
gsl,2030,0.35815150887335,0.35816108831788773,-9.579444537721749e-06
gsl,2035,1.404695163006249,1.4047567032025718,-6.154019632287344e-05
gsl,2040,1.7090690420217527,1.7090684567466423,5.852751103763154e-07
gsl,2045,0.996833830128306,0.996821904239079,1.1925889226938047e-05
gsl,2050,1.7776024689567593,1.7776757821436253,-7.331318686598642e-05
h2,2025,17.241630077946215,17.244268409838245,-0.002638331892029555
h2,2030,24.704465812831526,24.703599859077073,0.0008659537544524198
h2,2035,6.278030320618077,6.28342905017692,-0.0053987295588431294
h2,2040,11.730014452531663,11.725081740876924,0.004932711654738853
h2,2045,17.583204720363682,13.47582080641167,4.107383913952011
h2,2050,6.333986850210049,6.3508727963984395,-0.016885946188390122
