region,tech,c2a,notes,data_id,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time
NLLAB,T_LDV_LTP_BEV300,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_BEV300,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_BEV300,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_BEV300,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_BEV300,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_BEV300,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_BEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_CNG,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_DSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_FCEV400,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_GSL,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_GSL_HEV,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_GSL_PHEV35,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_LDV_LTP_GSL_PHEV50,1.625,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 5 passengers for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_MDV_T_BEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_MDV_T_DSL,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
NS,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNS001,,,,,,
ON,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRON001,,,,,,
PEI,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRPEI001,,,,,,
QC,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRQC001,,,,,,
SK,T_MDV_T_DSL_HEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRSK001,,,,,,
AB,T_MDV_T_DSL_PHEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRAB001,,,,,,
BC,T_MDV_T_DSL_PHEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRBC001,,,,,,
MB,T_MDV_T_DSL_PHEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRMB001,,,,,,
NB,T_MDV_T_DSL_PHEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNB001,,,,,,
NLLAB,T_MDV_T_DSL_PHEV,0.975,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 3 tonnes of payload for 6,500 hours each year. ",TRPHRNLLAB001,,,,,,
