region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,2035,T_H2_COMP_10_100,2025,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2035,T_H2_COMP_10_100,2030,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2035,T_H2_COMP_10_100,2035,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2040,T_H2_COMP_10_100,2030,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2040,T_H2_COMP_10_100,2035,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2040,T_H2_COMP_10_100,2040,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2045,T_H2_COMP_10_100,2035,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2045,T_H2_COMP_10_100,2040,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2045,T_H2_COMP_10_100,2045,6.08408892,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2025,T_H2_COMP_100_700,2025,7.341021576,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2030,T_H2_COMP_100_700,2025,7.341021576,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2030,T_H2_COMP_100_700,2030,7.341021576,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2035,T_H2_COMP_100_700,2025,7.341021576,2020 CAD (M$/GW),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
