region,output_comm,min_output,period,commodity,demand,satisfaction
SK,T_D_pkm_ldv_c,3.5329204027566927,2025,T_D_pkm_ldv_c,10.27670264,34.0
AB,T_D_pkm_ldv_c,10.611646209965597,2025,T_D_pkm_ldv_c,27.986978196,38.0
ON,T_D_pkm_ldv_c,59.634427862130366,2025,T_D_pkm_ldv_c,146.205584924,41.0
NB,R_D_lgt,1.9517170629384588,2025,R_D_lgt,4.588494477307544,43.0
QC,R_D_lgt,16.695312187888984,2025,R_D_lgt,38.76847110990501,43.0
QC,T_D_pkm_ldv_c,37.87985458068908,2025,T_D_pkm_ldv_c,85.546062842,44.0
MB,T_D_pkm_ldv_c,4.641791067580824,2025,T_D_pkm_ldv_c,10.329847791,45.0
AB,R_D_lgt,8.296272388801635,2025,R_D_lgt,18.140280269238204,46.0
BC,T_D_pkm_ldv_c,16.813809107795915,2025,T_D_pkm_ldv_c,36.658460449,46.0
NS,T_D_tkm_ldv_t,0.8635757303269741,2025,T_D_tkm_ldv_t,1.84368407085209,47.0
BC,R_D_lgt,9.783931244997714,2025,R_D_lgt,20.73508532321481,47.0
NLLAB,R_D_lgt,1.0065017101292424,2025,R_D_lgt,2.1436487698109086,47.0
SK,R_D_lgt,2.153528174126187,2025,R_D_lgt,4.56894858172241,47.0
PEI,R_D_lgt,0.12961933661743305,2025,R_D_lgt,0.2707194365424392,48.0
ON,R_D_lgt,24.129578233393513,2025,R_D_lgt,49.94889613353933,48.0
NS,R_D_lgt,2.6334540272653704,2025,R_D_lgt,5.519343082430918,48.0
MB,R_D_lgt,3.6165722056402783,2025,R_D_lgt,7.597751056633107,48.0
AB,T_D_tkm_hdv_t,42.46023321578792,2025,T_D_tkm_hdv_t,73.745194687,58.0
AB,T_D_pkm_ldv_t,24.047192603054192,2025,T_D_pkm_ldv_t,39.939405418,60.0
AB,T_D_tkm_ldv_t,4.430243512563951,2025,T_D_tkm_ldv_t,7.286890141,61.0
SK,T_D_pkm_ldv_t,9.411900427088751,2025,T_D_pkm_ldv_t,15.548582596,61.0
SK,T_D_tkm_ldv_t,1.7310074658978791,2025,T_D_tkm_ldv_t,2.84955125,61.0
AB,T_D_tkm_mdv_t,11.385508644316658,2025,T_D_tkm_mdv_t,17.779058583,64.0
NS,R_D_app_cook_rng,0.01607364,2025,R_D_app_cook_rng,0.023539056162663316,68.0
AB,R_D_app_cook_rng,0.065185,2025,R_D_app_cook_rng,0.0956670437368439,68.0
AB,R_D_app_cwsh,0.05882812,2025,R_D_app_cwsh,0.08705701749576776,68.0
ON,T_D_pkm_ldv_t,101.69356647756145,2025,T_D_pkm_ldv_t,148.093136593,69.0
NB,R_D_app_cook_rng,0.013224320000000001,2025,R_D_app_cook_rng,0.019070463069963805,69.0
ON,T_D_tkm_ldv_t,11.03500854482128,2025,T_D_tkm_ldv_t,15.902986104,69.0
SK,R_D_app_cook_rng,0.0172792,2025,R_D_app_cook_rng,0.024577698374134403,70.0
MB,R_D_app_cook_rng,0.0200824,2025,R_D_app_cook_rng,0.02854352604698672,70.0
MB,T_D_tkm_hdv_t,11.623950826533186,2025,T_D_tkm_hdv_t,16.641111346,70.0
NB,R_D_app_cwsh,0.01295164,2025,R_D_app_cwsh,0.018116920333085852,71.0
BC,T_D_tkm_ldv_t,3.6259641191005243,2025,T_D_tkm_ldv_t,5.102981329,71.0
QC,T_D_tkm_hdv_t,49.37694131855568,2025,T_D_tkm_hdv_t,68.469483336,72.0
BC,T_D_pkm_ldv_t,28.688139657833364,2025,T_D_pkm_ldv_t,39.987979077,72.0
NS,R_D_app_cwsh,0.01472008,2025,R_D_app_cwsh,0.020478969401175027,72.0
BC,R_D_app_cwsh,0.07750600000000002,2025,R_D_app_cwsh,0.10722371195263025,72.0
AB,R_D_app_cdry,0.06863280666666668,2025,R_D_app_cdry,0.09375371114928838,73.0
MB,T_D_pkm_ldv_t,10.46045093106249,2025,T_D_pkm_ldv_t,14.368592582,73.0
AB,R_D_wah,24.077570997852693,2025,R_D_wah,32.76300497994753,73.0
SK,R_D_app_cwsh,0.016739200000000003,2025,R_D_app_cwsh,0.022857233816706478,73.0
BC,R_D_app_cook_rng,0.08588124333333334,2025,R_D_app_cook_rng,0.11782832604055436,73.0
MB,R_D_app_cwsh,0.017805039999999998,2025,R_D_app_cwsh,0.024304400408580184,73.0
MB,T_D_tkm_ldv_t,1.1241685802747015,2025,T_D_tkm_ldv_t,1.536180708,73.0
ON,R_D_app_cwsh,0.19524476000000002,2025,R_D_app_cwsh,0.26865560741427075,73.0
ON,R_D_app_cook_rng,0.23514597333333337,2025,R_D_app_cook_rng,0.3198281066855489,74.0
ON,T_D_tkm_mdv_t,9.72825469044134,2025,T_D_tkm_mdv_t,13.143088209,74.0
PEI,C_D_spc,1.311411486301496,2025,C_D_spc,1.7830811797092834,74.0
QC,C_D_spc,30.631305068746382,2025,C_D_spc,41.6483339886337,74.0
SK,T_D_tkm_mdv_t,3.2274854325693774,2025,T_D_tkm_mdv_t,4.343773098,74.0
NLLAB,C_D_spc,3.904205892589026,2025,C_D_spc,5.308414728331203,74.0
NB,C_D_sph,5.798331837303374,2025,C_D_sph,7.870927360380254,74.0
MB,R_D_app_cdry,0.018391619999999997,2025,R_D_app_cdry,0.024869577119509705,74.0
NB,C_D_spc,4.580094770476396,2025,C_D_spc,6.2273976336393275,74.0
NS,C_D_spc,5.445015934677496,2025,C_D_spc,7.403401249536179,74.0
MB,C_D_sph,33.03173378523552,2025,C_D_sph,43.91565850805712,75.0
SK,T_D_tkm_hdv_t,18.914478532906166,2025,T_D_tkm_hdv_t,25.337738713,75.0
ON,T_D_tkm_hdv_t,82.21417433131096,2025,T_D_tkm_hdv_t,110.047817504,75.0
QC,R_D_app_cwsh,0.14095668,2025,R_D_app_cwsh,0.18625012163194113,76.0
QC,R_D_app_cook_rng,0.15032880333333334,2025,R_D_app_cook_rng,0.19813843401523337,76.0
PEI,R_D_sph,2.1443916376,2025,R_D_sph,2.8115677204502814,76.0
NB,R_D_app_cdry,0.013144776666666668,2025,R_D_app_cdry,0.016972691429837754,77.0
SK,C_D_sph,29.414929263408283,2025,C_D_sph,38.17745603063988,77.0
BC,C_D_sph,50.41460140360542,2025,C_D_sph,65.86632812188034,77.0
PEI,R_D_spc,0.05173451130403799,2025,R_D_spc,0.06717494321991518,77.0
QC,T_D_tkm_mdv_t,5.960660857102069,2025,T_D_tkm_mdv_t,7.774862803,77.0
NLLAB,R_D_app_cook_rng,0.00889028,2025,R_D_app_cook_rng,0.0114276138703146,78.0
BC,R_D_app_cdry,0.09042370999999999,2025,R_D_app_cdry,0.11547174513212678,78.0
QC,C_D_sph,99.80901750301422,2025,C_D_sph,128.13150284657223,78.0
