region,emis_comm,input_comm,tech,vintage,output_comm,activity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,co2,F_eth,F_T_ETH,2045,T_eth,64.9,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_eth,F_T_ETH,2020,T_eth,64.9,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_eth,F_T_ETH,2025,T_eth,64.9,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_eth,F_T_ETH,2030,T_eth,64.9,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_eth,F_T_ETH,2035,T_eth,64.9,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_eth,F_T_ETH,2040,T_eth,64.9,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_eth,F_T_ETH,2045,T_eth,64.9,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_rdsl,F_T_RDSL,2020,T_rdsl,70.0,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_rdsl,F_T_RDSL,2025,T_rdsl,70.0,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_rdsl,F_T_RDSL,2030,T_rdsl,70.0,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_rdsl,F_T_RDSL,2035,T_rdsl,70.0,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_rdsl,F_T_RDSL,2040,T_rdsl,70.0,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_rdsl,F_T_RDSL,2045,T_rdsl,70.0,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_rdsl,F_T_RDSL,2020,T_rdsl,70.0,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_rdsl,F_T_RDSL,2025,T_rdsl,70.0,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_rdsl,F_T_RDSL,2030,T_rdsl,70.0,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_rdsl,F_T_RDSL,2035,T_rdsl,70.0,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_rdsl,F_T_RDSL,2040,T_rdsl,70.0,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_rdsl,F_T_RDSL,2045,T_rdsl,70.0,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_dsl,F_T_DSL,2020,T_dsl,69.43,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_dsl,F_T_DSL,2025,T_dsl,69.43,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_dsl,F_T_DSL,2030,T_dsl,69.43,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_dsl,F_T_DSL,2035,T_dsl,69.43,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_dsl,F_T_DSL,2040,T_dsl,69.43,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_dsl,F_T_DSL,2045,T_dsl,69.43,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_dsl,F_T_DSL,2020,T_dsl,3.474,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_dsl,F_T_DSL,2025,T_dsl,3.474,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_dsl,F_T_DSL,2030,T_dsl,3.474,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_dsl,F_T_DSL,2035,T_dsl,3.474,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_dsl,F_T_DSL,2040,T_dsl,3.474,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_dsl,F_T_DSL,2045,T_dsl,3.474,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_dsl,F_T_DSL,2020,T_dsl,10.44,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_dsl,F_T_DSL,2025,T_dsl,10.44,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_dsl,F_T_DSL,2030,T_dsl,10.44,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_dsl,F_T_DSL,2035,T_dsl,10.44,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_dsl,F_T_DSL,2040,T_dsl,10.44,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_dsl,F_T_DSL,2045,T_dsl,10.44,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_dsl,F_T_DSL,2020,T_dsl,72.377392,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_dsl,F_T_DSL,2025,T_dsl,72.377392,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_dsl,F_T_DSL,2030,T_dsl,72.377392,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_dsl,F_T_DSL,2035,T_dsl,72.377392,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_dsl,F_T_DSL,2040,T_dsl,72.377392,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_dsl,F_T_DSL,2045,T_dsl,72.377392,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_cng,F_T_CNG,2020,T_cng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_cng,F_T_CNG,2025,T_cng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_cng,F_T_CNG,2030,T_cng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_cng,F_T_CNG,2035,T_cng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_cng,F_T_CNG,2040,T_cng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_cng,F_T_CNG,2045,T_cng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_cng,F_T_CNG,2020,T_cng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_cng,F_T_CNG,2025,T_cng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_cng,F_T_CNG,2030,T_cng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_cng,F_T_CNG,2035,T_cng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_cng,F_T_CNG,2040,T_cng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_cng,F_T_CNG,2045,T_cng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_cng,F_T_CNG,2020,T_cng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_cng,F_T_CNG,2025,T_cng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_cng,F_T_CNG,2030,T_cng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_cng,F_T_CNG,2035,T_cng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_cng,F_T_CNG,2040,T_cng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_cng,F_T_CNG,2045,T_cng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_cng,F_T_CNG,2020,T_cng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_cng,F_T_CNG,2025,T_cng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_cng,F_T_CNG,2030,T_cng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_cng,F_T_CNG,2035,T_cng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
