region,tech,vintage,capacity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NS,T_HDV_WTF_HFO,2010.0,33.1619625486368,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRNS001
NS,T_HDV_WTF_HFO,2015.0,12.0839357774177,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRNS001
NS,T_HDV_WTF_MDO,2000.0,2.52113518362593,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRNS001
NS,T_HDV_WTF_MDO,2005.0,2.63399983081068,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRNS001
NS,T_HDV_WTF_MDO,2010.0,4.25820594182446,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRNS001
NS,T_HDV_WTF_MDO,2015.0,1.86573977087195,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRNS001
NS,T_LDV_BEV_CHRG,2015.0,0.00700139994551463,PJ/year,Existing capacity of EV chargers estimated from energy consumption of BEV classes.,,,,,,,TRPHRNS001
NS,T_LDV_M_GSL,2000.0,1.56873877069036,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on motorcycle registrations by age (ON Ministry of Transportation, 2023).",T17,,,,,,TRPHRNS001
NS,T_LDV_M_GSL,2005.0,9.0871978547649,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on motorcycle registrations by age (ON Ministry of Transportation, 2023).",T17,,,,,,TRPHRNS001
NS,T_LDV_M_GSL,2010.0,6.73616566536915,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on motorcycle registrations by age (ON Ministry of Transportation, 2023).",T17,,,,,,TRPHRNS001
NS,T_LDV_M_GSL,2015.0,7.01192323045993,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on motorcycle registrations by age (ON Ministry of Transportation, 2023).",T17,,,,,,TRPHRNS001
NS,T_LDV_PHEV_CHRG,2015.0,0.0121859085631877,PJ/year,Existing capacity of EV chargers estimated from energy consumption of PHEV classes.,,,,,,,TRPHRNS001
ON,T_HDV_AJF_JFL,2000.0,0.184886518,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. All estimated provincial fleet activity was assigned to jet fuel aircrafts as the share of aviation gasoline is negligible in this class.",T17,,,,,,TRPHRON001
ON,T_HDV_AJF_JFL,2005.0,0.117628202,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. All estimated provincial fleet activity was assigned to jet fuel aircrafts as the share of aviation gasoline is negligible in this class.",T17,,,,,,TRPHRON001
ON,T_HDV_AJF_JFL,2010.0,0.165610181,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. All estimated provincial fleet activity was assigned to jet fuel aircrafts as the share of aviation gasoline is negligible in this class.",T17,,,,,,TRPHRON001
ON,T_HDV_AJF_JFL,2015.0,0.476190303,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. All estimated provincial fleet activity was assigned to jet fuel aircrafts as the share of aviation gasoline is negligible in this class.",T17,,,,,,TRPHRON001
ON,T_HDV_AJP_JFL,2000.0,11.06355371,bpkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. All estimated provincial fleet activity was assigned to jet fuel aircrafts as the reported national passenger activity excludes non-commercial demand, where most aviation gasoline is assumed to be used.",T17,,,,,,TRPHRON001
ON,T_HDV_AJP_JFL,2005.0,10.406017395,bpkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. All estimated provincial fleet activity was assigned to jet fuel aircrafts as the reported national passenger activity excludes non-commercial demand, where most aviation gasoline is assumed to be used.",T17,,,,,,TRPHRON001
ON,T_HDV_AJP_JFL,2010.0,17.510257475,bpkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. All estimated provincial fleet activity was assigned to jet fuel aircrafts as the reported national passenger activity excludes non-commercial demand, where most aviation gasoline is assumed to be used.",T17,,,,,,TRPHRON001
ON,T_HDV_AJP_JFL,2015.0,28.916866408,bpkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. All estimated provincial fleet activity was assigned to jet fuel aircrafts as the reported national passenger activity excludes non-commercial demand, where most aviation gasoline is assumed to be used.",T17,,,,,,TRPHRON001
ON,T_HDV_BIC_DSL,2005.0,0.112948276,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of inter-city buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BIC_DSL,2010.0,0.365185409,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of inter-city buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BIC_DSL,2015.0,0.408025727,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of inter-city buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BIC_GSL,2005.0,0.003600474,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of inter-city buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BIC_GSL,2010.0,0.016715744,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of inter-city buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BIC_GSL,2015.0,0.071332967,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of inter-city buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BS_CNG,2005.0,0.006673796,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BS_CNG,2010.0,0.03687648,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BS_CNG,2015.0,0.520218527,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
