region,period,commodity,demand,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,2030,T_D_pkm_hdv_bs,7.051953359,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2035,T_D_pkm_hdv_bs,7.559997112,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2040,T_D_pkm_hdv_bs,8.060573896,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2045,T_D_pkm_hdv_bs,8.631228865,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2025,T_D_pkm_hdv_bt,4.025262312,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2030,T_D_pkm_hdv_bt,4.335852644,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2035,T_D_pkm_hdv_bt,4.648220401,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2040,T_D_pkm_hdv_bt,4.955997134,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2045,T_D_pkm_hdv_bt,5.306861034,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2025,T_D_pkm_hdv_r,0.487559682,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2030,T_D_pkm_hdv_r,0.525179919,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2035,T_D_pkm_hdv_r,0.563015447,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2040,T_D_pkm_hdv_r,0.600294888,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2045,T_D_pkm_hdv_r,0.642793259,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2025,T_D_pkm_ldv_c,27.986978196,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2030,T_D_pkm_ldv_c,30.146461027,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2035,T_D_pkm_ldv_c,32.318301994,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2040,T_D_pkm_ldv_c,34.458222346,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2045,T_D_pkm_ldv_c,36.897720581,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2025,T_D_pkm_ldv_m,0.735863633,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2030,T_D_pkm_ldv_m,0.792643071,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2035,T_D_pkm_ldv_m,0.849747442,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2040,T_D_pkm_ldv_m,0.906012522,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2045,T_D_pkm_ldv_m,0.970154425,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2025,T_D_pkm_ldv_t,39.939405418,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2030,T_D_pkm_ldv_t,43.021140777,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2035,T_D_pkm_ldv_t,46.120512073,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2040,T_D_pkm_ldv_t,49.174330383,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2045,T_D_pkm_ldv_t,52.655667609,bpkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector activity, which was impacted by the COVID-19 pandemic.",T17,,,,,,TRPHRAB001
AB,2025,T_D_tkm_hdv_aj,0.442524714,btkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2030,T_D_tkm_hdv_aj,0.476670042,btkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2035,T_D_tkm_hdv_aj,0.511010773,btkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2040,T_D_tkm_hdv_aj,0.544846782,btkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2045,T_D_tkm_hdv_aj,0.583419659,btkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2025,T_D_tkm_hdv_r,137.939330325,btkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2030,T_D_tkm_hdv_r,148.582766478,btkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
AB,2035,T_D_tkm_hdv_r,159.287112137,btkm,"Based on the findings from Sonia Yet et al. 2022, demand projections are indexed through projected national GDP growth (2019=100), using estimates from the Current Measures Scenario of the Canada's Energy Futures 2023. Initial demand is obtained from 2021 subsector energy use divided by avg. energy intensity from 2015-2019 to estimate the provincial demand of this mode. This demand would also reflect the impact of COVID-19 on demands.",T17,,,,,,TRPHRAB001
