region,tech,c2a,notes_x,data_source_x,dq_cred_x,dq_geog_x,dq_struc_x,dq_tech_x,dq_time_x,data_id_x,vintage,output_comm,operator,factor,notes_y,data_source_y,dq_cred_y,dq_geog_y,dq_struc_y,dq_tech_y,dq_time_y,data_id_y,capacity,virtual_demand,demand_type
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2020,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,63.337,37.7883633813743,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,12.056,6.84202385000872,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,11.93544,6.773603611508633,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,10.488719999999999,5.952560749507586,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,8.318639999999998,4.720996456506016,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,5.786879999999999,3.284171448004185,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,39.534,22.436344632236622,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,39.13866,22.211981185914258,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,34.39458,19.519619830045862,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,27.278459999999995,15.481077796243268,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,47.424,26.91407921887969,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,46.94976,26.64493842669089,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,41.25888,23.415248920425327,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,59.437,33.731699699151314,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,58.84263,33.3943827021598,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2020,T_D_tkm_hdv_t,ge,0.0582072027122039,,,,,,,,TRPHRON002,63.337,35.94502858228287,T_D_tkm_hdv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,3.297716758021438,0.17187318077017996,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,3.1987852552807947,0.16671698534707455,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,2.8360364118984367,0.14781093546235477,T_D_pkm_ldv
