tech,period,capacity
E_PUMP_4H-EXS,2045,0.0
E_PUMP_4H-EXS,2050,0.0
E_SOL_PV-EXS,2025,0.0
E_SOL_PV-EXS,2030,0.0
E_SOL_PV-EXS,2035,0.0
E_SOL_PV-EXS,2040,0.0
E_SOL_PV-EXS,2045,0.0
E_SOL_PV-NEW-1,2025,-0.0005379517036353814
E_SOL_PV-NEW-1,2030,-0.005933034752722023
E_SOL_PV-NEW-1,2035,-2.76843493483183
E_SOL_PV-NEW-1,2040,-0.22081301377238605
E_SOL_PV-NEW-1,2045,-0.8825175350658139
E_SOL_PV-NEW-1,2050,8.671786863700959e-06
E_SOL_PV-NEW-2,2025,-0.0006100371499884391
E_SOL_PV-NEW-2,2030,-0.32101801716385014
E_SOL_PV-NEW-2,2035,0.03780174016427407
E_SOL_PV-NEW-2,2040,0.015480458305329625
E_SOL_PV-NEW-2,2045,0.002422581083971087
E_SOL_PV-NEW-2,2050,4.052502666773705e-06
E_SOL_PV-NEW-3,2025,-0.00043655231770194656
E_SOL_PV-NEW-3,2030,-0.002006137623729676
E_SOL_PV-NEW-3,2035,-0.004453702012309127
E_SOL_PV-NEW-3,2040,-0.007853260070904025
E_SOL_PV-NEW-3,2045,-0.015034273887008287
E_SOL_PV-NEW-3,2050,-0.023072701939494393
E_SOL_PV-NEW-4,2025,-0.0004797946472164397
E_SOL_PV-NEW-4,2030,-0.0028366061056737035
E_SOL_PV-NEW-4,2035,-0.00697425696564382
E_SOL_PV-NEW-4,2040,-0.012074272514378846
E_SOL_PV-NEW-4,2045,-0.31448807852559435
E_SOL_PV-NEW-4,2050,1.1025266492831074
E_SOL_PV-NEW-5,2025,-0.0006081392150117385
E_SOL_PV-NEW-5,2030,-0.03033904261526235
E_SOL_PV-NEW-5,2035,-0.5798227758883605
E_SOL_PV-NEW-5,2040,0.3338383997968948
E_SOL_PV-NEW-5,2045,0.00447421210204535
E_SOL_PV-NEW-5,2050,5.815825937727226e-06
E_WND_ON-EXS,2025,0.0
E_WND_ON-EXS,2030,0.0
E_WND_ON-EXS,2035,0.0
E_WND_ON-EXS,2040,0.0
E_WND_ON-EXS,2045,0.0
E_WND_ON-NEW-1,2025,-0.002489684056649157
E_WND_ON-NEW-1,2030,-0.3750024976330412
E_WND_ON-NEW-1,2035,-0.1410466962129001
E_WND_ON-NEW-1,2040,0.0009144990882175574
E_WND_ON-NEW-1,2045,9.961061877494792e-05
E_WND_ON-NEW-1,2050,2.0747243630880874e-06
E_WND_ON-NEW-10,2025,-0.0013012712724716933
E_WND_ON-NEW-10,2030,-0.006202927840995943
E_WND_ON-NEW-10,2035,-0.01674893558404575
E_WND_ON-NEW-10,2040,-0.03313618162249215
E_WND_ON-NEW-10,2045,1.5786332770133749
E_WND_ON-NEW-10,2050,0.025162973324405202
E_WND_ON-NEW-11,2025,-0.0038096023054884523
E_WND_ON-NEW-11,2030,-0.014387508448906126
E_WND_ON-NEW-11,2035,-0.1928581298498487
E_WND_ON-NEW-11,2040,0.3084972785386262
E_WND_ON-NEW-11,2045,0.00984811308267941
