period,tech,sector,flow
2025,R_APP_FREZ-EXS,residential,0.12797088940855822
2025,R_APP_FREZ-TYP-NEW,residential,0.05100555753227824
2025,R_APP_OTH,residential,6.013686593900043
2025,R_APP_REFR-EXS,residential,0.23049730727247136
2025,R_APP_REFR-TYP-NEW,residential,0.19591684592838615
2025,R_LGT_CFL-EXS,residential,7.443995138300513
2025,R_LGT_LED-EXS,residential,10.819325357382287
2025,R_LGT_LED-TYP-NEW,residential,25.706620175906455
2025,R_LGT_T12-EXS,residential,3.138020437248163
2025,R_SPC_CENT_AC-EXS,residential,52.141282680467434
2025,R_SPC_ROOM_AC-EXS,residential,1.6197021507727625
2025,R_SPHC_AIR_HP-TYP-NEW,residential,40.306855262137596
2025,R_SPH_ELEC-EXS,residential,34.63493950707739
2025,R_SPH_HP-EXS,residential,3.2382757376279145
2025,R_SPH_NG-ELC-EXS,residential,1.5840907335680214
2025,R_SPH_NG-EXS,residential,164.2750921552449
2025,R_SPH_NG_FRN-TYP-NEW,residential,95.48758993071117
2025,R_SPH_OIL-ELC-EXS,residential,0.5490853908446369
2025,R_SPH_OIL-EXS,residential,2.1711507562931307
2025,R_SPH_OTH-EXS,residential,3.73111964032866
2025,R_SPH_WOOD-ELC-EXS,residential,4.892471897897728
2025,R_SPH_WOOD-EXS,residential,0.3921531975127193
2025,R_SPH_WOOD-OIL-EXS,residential,3.2545009405023064
2025,R_WAH_ELC-EXS,residential,5.509848949954629
2025,R_WAH_ELEC-TYP-NEW,residential,0.00011458562922310548
2025,R_WAH_HP-TYP-NEW,residential,5.5054377962947674e-05
2025,R_WAH_LPG-EXS,residential,0.08848510312658285
2025,R_WAH_NG-EXS,residential,28.210871403387838
2025,R_WAH_NG-TYP-NEW,residential,26.744843420782377
2025,R_WAH_OIL-EXS,residential,0.12450175637195852
2025,T_BLND_ETH_GSL,transportation,440.20425253644356
2025,T_BLND_GSL_ELC_PHEV35,transportation,78.803267415714
2025,T_BLND_GSL_ELC_PHEV50,transportation,10.675430380843716
2025,T_BLND_JTF,transportation,120.5908955374817
2025,T_BLND_RDSL_DSL,transportation,268.41070580504993
2025,T_ELC_AC_DC,transportation,2.8688445383665665e-05
2025,T_H2_COMP_100_700,transportation,18.645791182224187
2025,T_H2_COMP_10_100,transportation,18.645791181910802
2025,T_H2_HDV_REFUEL,transportation,5.947829206332201
2025,T_H2_MDV_REFUEL,transportation,12.604727485670592
2025,T_H2_distribution,transportation,18.64579118141647
2025,T_HDV_AJF_JFL_EX,transportation,0.907337578422099
2025,T_HDV_AJF_JFL_N,transportation,0.1289617600458687
2025,T_HDV_AJP_JFL_EX,transportation,65.68398210102882
2025,T_HDV_AJP_JFL_N,transportation,10.660138938284863
2025,T_HDV_BIC_DSL_EX,transportation,0.4208540532514955
2025,T_HDV_BIC_DSL_N,transportation,1.5037450830584906
2025,T_HDV_BIC_GSL_EX,transportation,0.0518773647701279
2025,T_HDV_BS_CNG_EX,transportation,0.2581337512909716
2025,T_HDV_BS_DSL_EX,transportation,3.5806334304379
2025,T_HDV_BS_FCHEV_N,transportation,6.405628892464002
2025,T_HDV_BS_GSL_EX,transportation,0.33870129187947123
2025,T_HDV_BT_BEV_EX,transportation,0.831218099927387
2025,T_HDV_BT_BEV_N,transportation,0.44818154462880194
2025,T_HDV_BT_CNG_EX,transportation,0.039341346338534484
2025,T_HDV_BT_DSL_EX,transportation,1.9593530271400388
2025,T_HDV_BT_FCHEV_N,transportation,4.785676165606264
2025,T_HDV_BT_GSL_EX,transportation,0.022192763746020673
2025,T_HDV_CHRG,transportation,0.6136345209949027
2025,T_HDV_RF_DSL_EX,transportation,91.62120531833006
2025,T_HDV_RF_DSL_N,transportation,7.280346267091971
2025,T_HDV_RICP_DSL_EX,transportation,0.3414580821025186
2025,T_HDV_RICP_DSL_N,transportation,0.00811838389748138
2025,T_HDV_T_DSL_EX,transportation,80.4670388592051
2025,T_HDV_T_DSL_HEV_N,transportation,18.397701049360688
2025,T_HDV_WTF_HFO_EX,transportation,41.34476543954008
2025,T_HDV_WTF_HFO_N,transportation,16.21596970933912
