tech,
T_H2_COMP_10_100,
T_H2_COMP_100_700,
T_H2_distribution,Remove
T_I_H2_ELC_ALK,Remove
T_I_H2_ELC_PEM,
T_I_H2_SMR,
T_I_H2_SMR_CCS,
