region,tech,lifetime,notes
BC,T_LDV_LTF_BEV150_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_BEV200_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_BEV300_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_BEV400_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_CNG_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_DSL_EX,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_DSL_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_FCEV400_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_GSL_EX,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_GSL_HEV_EX,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_GSL_HEV_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_GSL_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_GSL_PHEV35_EX,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_GSL_PHEV35_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTF_GSL_PHEV50_N,23,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_BEV150_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_BEV200_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_BEV300_EX,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_BEV300_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_BEV400_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_CNG_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_DSL_EX,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_DSL_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_FCEV400_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_GSL_EX,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_GSL_HEV_EX,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_GSL_HEV_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_GSL_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_GSL_PHEV35_EX,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_GSL_PHEV35_N,22,(y) age when vehicles have 0% survival rate
BC,T_LDV_LTP_GSL_PHEV50_N,22,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_BEV_N,21,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_DSL_EX,21,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_DSL_HEV_N,21,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_DSL_N,21,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_DSL_PHEV_N,21,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_FCEV_N,21,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_FCHEV_N,21,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_GSL_EX,21,(y) age when vehicles have 0% survival rate
BC,T_MDV_T_GSL_N,21,(y) age when vehicles have 0% survival rate
MB,T_HDV_T_BEV_N,42,(y) age when vehicles have 0% survival rate
MB,T_HDV_T_DSL_EX,42,(y) age when vehicles have 0% survival rate
MB,T_HDV_T_DSL_HEV_N,42,(y) age when vehicles have 0% survival rate
MB,T_HDV_T_DSL_N,42,(y) age when vehicles have 0% survival rate
MB,T_HDV_T_DSL_PHEV_N,42,(y) age when vehicles have 0% survival rate
MB,T_HDV_T_FCEV_N,42,(y) age when vehicles have 0% survival rate
MB,T_HDV_T_FCHEV_N,42,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_BEV150_EX,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_BEV150_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_BEV200_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_BEV300_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_BEV400_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_CNG_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_DSL_EX,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_DSL_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_FCEV400_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_GSL_EX,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_GSL_HEV_EX,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_GSL_HEV_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_GSL_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_GSL_PHEV35_EX,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_GSL_PHEV35_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_C_GSL_PHEV50_N,26,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_BEV150_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_BEV200_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_BEV300_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_BEV400_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_CNG_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_DSL_EX,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_DSL_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_FCEV400_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_GSL_EX,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_GSL_HEV_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_GSL_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_GSL_PHEV35_EX,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_GSL_PHEV35_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTF_GSL_PHEV50_N,25,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_BEV150_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_BEV200_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_BEV300_EX,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_BEV300_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_BEV400_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_CNG_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_DSL_EX,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_DSL_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_FCEV400_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_GSL_EX,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_GSL_HEV_EX,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_GSL_HEV_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_GSL_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_GSL_PHEV35_EX,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_GSL_PHEV35_N,21,(y) age when vehicles have 0% survival rate
MB,T_LDV_LTP_GSL_PHEV50_N,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_BEV_N,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_DSL_EX,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_DSL_HEV_N,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_DSL_N,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_DSL_PHEV_N,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_FCEV_N,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_FCHEV_N,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_GSL_EX,21,(y) age when vehicles have 0% survival rate
MB,T_MDV_T_GSL_N,21,(y) age when vehicles have 0% survival rate
NB,T_HDV_T_BEV_N,42,(y) age when vehicles have 0% survival rate
NB,T_HDV_T_DSL_EX,42,(y) age when vehicles have 0% survival rate
NB,T_HDV_T_DSL_HEV_N,42,(y) age when vehicles have 0% survival rate
NB,T_HDV_T_DSL_N,42,(y) age when vehicles have 0% survival rate
NB,T_HDV_T_DSL_PHEV_N,42,(y) age when vehicles have 0% survival rate
NB,T_HDV_T_FCEV_N,42,(y) age when vehicles have 0% survival rate
NB,T_HDV_T_FCHEV_N,42,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_BEV150_EX,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_BEV150_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_BEV200_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_BEV300_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_BEV400_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_CNG_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_DSL_EX,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_DSL_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_FCEV400_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_GSL_EX,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_GSL_HEV_EX,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_GSL_HEV_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_GSL_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_GSL_PHEV35_EX,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_GSL_PHEV35_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_C_GSL_PHEV50_N,35,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_BEV150_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_BEV200_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_BEV300_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_BEV400_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_CNG_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_DSL_EX,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_DSL_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_FCEV400_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_GSL_EX,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_GSL_HEV_EX,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_GSL_HEV_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_GSL_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_GSL_PHEV35_EX,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_GSL_PHEV35_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTF_GSL_PHEV50_N,38,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_BEV150_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_BEV200_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_BEV300_EX,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_BEV300_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_BEV400_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_CNG_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_DSL_EX,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_DSL_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_FCEV400_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_GSL_EX,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_GSL_HEV_EX,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_GSL_HEV_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_GSL_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_GSL_PHEV35_EX,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_GSL_PHEV35_N,29,(y) age when vehicles have 0% survival rate
NB,T_LDV_LTP_GSL_PHEV50_N,29,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_BEV_N,32,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_DSL_EX,32,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_DSL_HEV_N,32,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_DSL_N,32,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_DSL_PHEV_N,32,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_FCEV_N,32,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_FCHEV_N,32,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_GSL_EX,32,(y) age when vehicles have 0% survival rate
NB,T_MDV_T_GSL_N,32,(y) age when vehicles have 0% survival rate
NLLAB,T_HDV_T_BEV_N,26,(y) age when vehicles have 0% survival rate
NLLAB,T_HDV_T_DSL_EX,26,(y) age when vehicles have 0% survival rate
NLLAB,T_HDV_T_DSL_HEV_N,26,(y) age when vehicles have 0% survival rate
NLLAB,T_HDV_T_DSL_N,26,(y) age when vehicles have 0% survival rate
NLLAB,T_HDV_T_DSL_PHEV_N,26,(y) age when vehicles have 0% survival rate
NLLAB,T_HDV_T_FCEV_N,26,(y) age when vehicles have 0% survival rate
NLLAB,T_HDV_T_FCHEV_N,26,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_BEV150_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_BEV150_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_BEV200_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_BEV300_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_BEV400_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_CNG_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_DSL_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_DSL_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_FCEV400_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_GSL_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_GSL_HEV_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_GSL_HEV_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_GSL_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_GSL_PHEV35_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_GSL_PHEV35_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_C_GSL_PHEV50_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_BEV150_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_BEV200_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_BEV300_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_BEV400_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_CNG_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_DSL_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_DSL_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_FCEV400_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_GSL_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_GSL_HEV_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_GSL_HEV_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_GSL_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_GSL_PHEV35_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_GSL_PHEV35_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTF_GSL_PHEV50_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_BEV150_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_BEV200_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_BEV300_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_BEV300_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_BEV400_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_CNG_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_DSL_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_DSL_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_FCEV400_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_GSL_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_GSL_HEV_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_GSL_HEV_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_GSL_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_GSL_PHEV35_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_GSL_PHEV35_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_LDV_LTP_GSL_PHEV50_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_BEV_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_DSL_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_DSL_HEV_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_DSL_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_DSL_PHEV_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_FCEV_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_FCHEV_N,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_GSL_EX,42,(y) age when vehicles have 0% survival rate
NLLAB,T_MDV_T_GSL_N,42,(y) age when vehicles have 0% survival rate
NS,T_HDV_T_BEV_N,29,(y) age when vehicles have 0% survival rate
NS,T_HDV_T_DSL_EX,29,(y) age when vehicles have 0% survival rate
NS,T_HDV_T_DSL_HEV_N,29,(y) age when vehicles have 0% survival rate
NS,T_HDV_T_DSL_N,29,(y) age when vehicles have 0% survival rate
NS,T_HDV_T_DSL_PHEV_N,29,(y) age when vehicles have 0% survival rate
NS,T_HDV_T_FCEV_N,29,(y) age when vehicles have 0% survival rate
NS,T_HDV_T_FCHEV_N,29,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_BEV150_EX,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_BEV150_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_BEV200_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_BEV300_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_BEV400_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_CNG_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_DSL_EX,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_DSL_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_FCEV400_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_GSL_EX,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_GSL_HEV_EX,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_GSL_HEV_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_GSL_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_GSL_PHEV35_EX,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_GSL_PHEV35_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_C_GSL_PHEV50_N,42,(y) age when vehicles have 0% survival rate
NS,T_LDV_LTF_BEV150_N,26,(y) age when vehicles have 0% survival rate
NS,T_LDV_LTF_BEV200_N,26,(y) age when vehicles have 0% survival rate
NS,T_LDV_LTF_BEV300_N,26,(y) age when vehicles have 0% survival rate
NS,T_LDV_LTF_BEV400_N,26,(y) age when vehicles have 0% survival rate
NS,T_LDV_LTF_CNG_N,26,(y) age when vehicles have 0% survival rate
NS,T_LDV_LTF_DSL_EX,26,(y) age when vehicles have 0% survival rate
