group_name,tech,output_comm,mode,demand_type,unit,fuel_type_1,fuel_type_2,vehicle_type,zev_class,status
HDV,T_HDV_BS_DSL_PHEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,dsl,elc,plug_in hyb,zev,new
HDV PHEV,T_HDV_BS_DSL_PHEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,dsl,elc,plug_in hyb,zev,new
HDV ZEV,T_HDV_BS_DSL_PHEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,dsl,elc,plug_in hyb,zev,new
HDV,T_HDV_BS_FCEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV H2,T_HDV_BS_FCEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV ZEV,T_HDV_BS_FCEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV,T_HDV_BS_FCHEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV hyb,T_HDV_BS_FCHEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV N-ZEV,T_HDV_BS_FCHEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,h2,NONE,h2,zev,new
Existing_HDV,T_HDV_BS_GSL_EX,T_D_pkm_hdv_bs,Bus,pkm,k units,gsl,NONE,ice,non-zev,Existing
HDV,T_HDV_BS_GSL_N,T_D_pkm_hdv_bs,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
HDV ICE,T_HDV_BS_GSL_N,T_D_pkm_hdv_bs,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_BS_GSL_N,T_D_pkm_hdv_bs,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
Existing_HDV,T_HDV_BT_BEV_EX,T_D_pkm_hdv_bt,Bus,pkm,k units,elc,NONE,BEV,zev,Existing
HDV,T_HDV_BT_BEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,elc,NONE,BEV,zev,new
HDV elc,T_HDV_BT_BEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,elc,NONE,BEV,zev,new
HDV ZEV,T_HDV_BT_BEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,elc,NONE,BEV,zev,new
Existing_HDV,T_HDV_BT_CNG_EX,T_D_pkm_hdv_bt,Bus,pkm,k units,cng,NONE,ice,non-zev,Existing
HDV,T_HDV_BT_CNG_N,T_D_pkm_hdv_bt,Bus,pkm,k units,cng,NONE,ice,non-zev,new
HDV ICE,T_HDV_BT_CNG_N,T_D_pkm_hdv_bt,Bus,pkm,k units,cng,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_BT_CNG_N,T_D_pkm_hdv_bt,Bus,pkm,k units,cng,NONE,ice,non-zev,new
Existing_HDV,T_HDV_BT_DSL_EX,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,NONE,ice,non-zev,Existing
HDV,T_HDV_BT_DSL_HEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,elc,hyb,non-zev,new
HDV hyb,T_HDV_BT_DSL_HEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,elc,hyb,non-zev,new
