group_name,tech,output_comm,mode,demand_type,unit,fuel_type_1,fuel_type_2,vehicle_type,zev_class,status
LDV ICE,T_LDV_LTF_GSL_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_LTF_GSL_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,NONE,ice,non-zev,new
Existing_LDV,T_LDV_LTF_GSL_PHEV35_EX,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,plug_in hyb,zev,Existing
LDV,T_LDV_LTF_GSL_PHEV35_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,plug_in hyb,zev,new
LDV PHEV,T_LDV_LTF_GSL_PHEV35_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,plug_in hyb,zev,new
LDV ZEV,T_LDV_LTF_GSL_PHEV35_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,plug_in hyb,zev,new
LDV,T_LDV_LTF_GSL_PHEV50_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,plug_in hyb,zev,new
LDV PHEV,T_LDV_LTF_GSL_PHEV50_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,plug_in hyb,zev,new
LDV ZEV,T_LDV_LTF_GSL_PHEV50_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,plug_in hyb,zev,new
LDV,T_LDV_LTP_BEV150_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_LTP_BEV150_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_LTP_BEV150_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_LTP_BEV200_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_LTP_BEV200_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_LTP_BEV200_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
Existing_LDV,T_LDV_LTP_BEV300_EX,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,Existing
LDV,T_LDV_LTP_BEV300_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_LTP_BEV300_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_LTP_BEV300_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_LTP_BEV400_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_LTP_BEV400_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_LTP_BEV400_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_LTP_CNG_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,cng,NONE,ice,non-zev,new
LDV ICE,T_LDV_LTP_CNG_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,cng,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_LTP_CNG_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,cng,NONE,ice,non-zev,new
Existing_LDV,T_LDV_LTP_DSL_EX,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,dsl,NONE,ice,non-zev,Existing
LDV,T_LDV_LTP_DSL_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,dsl,NONE,ice,non-zev,new
LDV ICE,T_LDV_LTP_DSL_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,dsl,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_LTP_DSL_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,dsl,NONE,ice,non-zev,new
LDV,T_LDV_LTP_FCEV400_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,h2,NONE,h2,zev,new
LDV H2,T_LDV_LTP_FCEV400_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,h2,NONE,h2,zev,new
LDV ZEV,T_LDV_LTP_FCEV400_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,h2,NONE,h2,zev,new
Existing_LDV,T_LDV_LTP_GSL_EX,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,NONE,ice,non-zev,Existing
Existing_LDV,T_LDV_LTP_GSL_HEV_EX,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,hyb,non-zev,Existing
LDV,T_LDV_LTP_GSL_HEV_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,hyb,non-zev,new
LDV hyb,T_LDV_LTP_GSL_HEV_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,hyb,non-zev,new
LDV N-ZEV,T_LDV_LTP_GSL_HEV_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,hyb,non-zev,new
LDV,T_LDV_LTP_GSL_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,NONE,ice,non-zev,new
LDV ICE,T_LDV_LTP_GSL_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_LTP_GSL_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,NONE,ice,non-zev,new
Existing_LDV,T_LDV_LTP_GSL_PHEV35_EX,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,plug_in hyb,zev,Existing
LDV,T_LDV_LTP_GSL_PHEV35_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV PHEV,T_LDV_LTP_GSL_PHEV35_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV ZEV,T_LDV_LTP_GSL_PHEV35_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV,T_LDV_LTP_GSL_PHEV50_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV PHEV,T_LDV_LTP_GSL_PHEV50_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV ZEV,T_LDV_LTP_GSL_PHEV50_N,T_D_pkm_ldv_t,Trucks (LDV),pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV,T_LDV_M_BEV_N,T_D_pkm_ldv_m,Motorcycle,pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_M_BEV_N,T_D_pkm_ldv_m,Motorcycle,pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_M_BEV_N,T_D_pkm_ldv_m,Motorcycle,pkm,k units,elc,NONE,BEV,zev,new
Existing_LDV,T_LDV_M_GSL_EX,T_D_pkm_ldv_m,Motorcycle,pkm,k units,gsl,NONE,ice,non-zev,Existing
LDV,T_LDV_M_GSL_N,T_D_pkm_ldv_m,Motorcycle,pkm,k units,gsl,NONE,ice,non-zev,new
LDV ICE,T_LDV_M_GSL_N,T_D_pkm_ldv_m,Motorcycle,pkm,k units,gsl,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_M_GSL_N,T_D_pkm_ldv_m,Motorcycle,pkm,k units,gsl,NONE,ice,non-zev,new
MDV,T_MDV_T_BEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,elc,NONE,BEV,zev,new
MDV elc,T_MDV_T_BEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,elc,NONE,BEV,zev,new
MDV ZEV,T_MDV_T_BEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,elc,NONE,BEV,zev,new
Existing_MDV,T_MDV_T_DSL_EX,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,NONE,ice,non-zev,Existing
MDV,T_MDV_T_DSL_HEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,elc,hyb,non-zev,new
MDV hyb,T_MDV_T_DSL_HEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,elc,hyb,non-zev,new
MDV N-ZEV,T_MDV_T_DSL_HEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,elc,hyb,non-zev,new
MDV,T_MDV_T_DSL_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,NONE,ice,non-zev,new
MDV ICE,T_MDV_T_DSL_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,NONE,ice,non-zev,new
MDV N-ZEV,T_MDV_T_DSL_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,NONE,ice,non-zev,new
MDV,T_MDV_T_DSL_PHEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,elc,plug_in hyb,zev,new
MDV PHEV,T_MDV_T_DSL_PHEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,elc,plug_in hyb,zev,new
MDV ZEV,T_MDV_T_DSL_PHEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,dsl,elc,plug_in hyb,zev,new
MDV,T_MDV_T_FCEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,h2,NONE,h2,zev,new
MDV H2,T_MDV_T_FCEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,h2,NONE,h2,zev,new
MDV ZEV,T_MDV_T_FCEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,h2,NONE,h2,zev,new
MDV,T_MDV_T_FCHEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,h2,NONE,h2,zev,new
MDV hyb,T_MDV_T_FCHEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,h2,NONE,h2,zev,new
MDV N-ZEV,T_MDV_T_FCHEV_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,h2,NONE,h2,zev,new
Existing_MDV,T_MDV_T_GSL_EX,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,gsl,NONE,ice,non-zev,Existing
MDV,T_MDV_T_GSL_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,gsl,NONE,ice,non-zev,new
MDV ICE,T_MDV_T_GSL_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,gsl,NONE,ice,non-zev,new
MDV N-ZEV,T_MDV_T_GSL_N,T_D_tkm_mdv_t,Trucks (HDV &MDV),tkm,k units,gsl,NONE,ice,non-zev,new
