region,period,tech,vintage,cost
NLLAB,2030,T_LDV_PHEV_CHRG,2020,0.8124
NLLAB,2025,T_LDV_PHEV_CHRG,2025,0.6691
NLLAB,2030,T_LDV_PHEV_CHRG,2025,0.6691
NLLAB,2035,T_LDV_PHEV_CHRG,2025,0.6691
NLLAB,2030,T_LDV_PHEV_CHRG,2030,0.525773161
NLLAB,2035,T_LDV_PHEV_CHRG,2030,0.525773161
NLLAB,2040,T_LDV_PHEV_CHRG,2030,0.525773161
NLLAB,2035,T_LDV_PHEV_CHRG,2035,0.525773161
NLLAB,2040,T_LDV_PHEV_CHRG,2035,0.525773161
NLLAB,2045,T_LDV_PHEV_CHRG,2035,0.525773161
NLLAB,2040,T_LDV_PHEV_CHRG,2040,0.525773161
NLLAB,2045,T_LDV_PHEV_CHRG,2040,0.525773161
NLLAB,2050,T_LDV_PHEV_CHRG,2040,0.525773161
NLLAB,2045,T_LDV_PHEV_CHRG,2045,0.525773161
NLLAB,2050,T_LDV_PHEV_CHRG,2045,0.525773161
NLLAB,2050,T_LDV_PHEV_CHRG,2050,0.525773161
NLLAB,2025,T_MDV_CHRG,2025,1.643259817
NLLAB,2030,T_MDV_CHRG,2025,1.643259817
NLLAB,2035,T_MDV_CHRG,2025,1.643259817
NLLAB,2030,T_MDV_CHRG,2030,1.643259817
NLLAB,2035,T_MDV_CHRG,2030,1.643259817
NLLAB,2040,T_MDV_CHRG,2030,1.643259817
NLLAB,2035,T_MDV_CHRG,2035,1.643259817
NLLAB,2040,T_MDV_CHRG,2035,1.643259817
NLLAB,2045,T_MDV_CHRG,2035,1.643259817
NLLAB,2040,T_MDV_CHRG,2040,1.643259817
NLLAB,2045,T_MDV_CHRG,2040,1.643259817
NLLAB,2050,T_MDV_CHRG,2040,1.643259817
NLLAB,2045,T_MDV_CHRG,2045,1.643259817
NLLAB,2050,T_MDV_CHRG,2045,1.643259817
NLLAB,2050,T_MDV_CHRG,2050,1.643259817
PEI,2025,T_HDV_CHRG,2015,1.643259817
PEI,2025,T_HDV_CHRG,2020,1.643259817
PEI,2030,T_HDV_CHRG,2020,1.643259817
PEI,2025,T_HDV_CHRG,2025,1.643259817
PEI,2030,T_HDV_CHRG,2025,1.643259817
PEI,2035,T_HDV_CHRG,2025,1.643259817
PEI,2030,T_HDV_CHRG,2030,1.643259817
PEI,2035,T_HDV_CHRG,2030,1.643259817
PEI,2040,T_HDV_CHRG,2030,1.643259817
PEI,2035,T_HDV_CHRG,2035,1.643259817
PEI,2040,T_HDV_CHRG,2035,1.643259817
