region,period,tech,vintage,cost
AB,2040,T_LDV_PHEV_CHRG,2030,0.525773161
AB,2035,T_LDV_PHEV_CHRG,2035,0.525773161
AB,2040,T_LDV_PHEV_CHRG,2035,0.525773161
AB,2045,T_LDV_PHEV_CHRG,2035,0.525773161
AB,2040,T_LDV_PHEV_CHRG,2040,0.525773161
AB,2045,T_LDV_PHEV_CHRG,2040,0.525773161
AB,2050,T_LDV_PHEV_CHRG,2040,0.525773161
AB,2045,T_LDV_PHEV_CHRG,2045,0.525773161
AB,2050,T_LDV_PHEV_CHRG,2045,0.525773161
AB,2050,T_LDV_PHEV_CHRG,2050,0.525773161
AB,2025,T_MDV_CHRG,2025,1.643259817
AB,2030,T_MDV_CHRG,2025,1.643259817
AB,2035,T_MDV_CHRG,2025,1.643259817
AB,2030,T_MDV_CHRG,2030,1.643259817
AB,2035,T_MDV_CHRG,2030,1.643259817
AB,2040,T_MDV_CHRG,2030,1.643259817
AB,2035,T_MDV_CHRG,2035,1.643259817
AB,2040,T_MDV_CHRG,2035,1.643259817
AB,2045,T_MDV_CHRG,2035,1.643259817
AB,2040,T_MDV_CHRG,2040,1.643259817
AB,2045,T_MDV_CHRG,2040,1.643259817
AB,2050,T_MDV_CHRG,2040,1.643259817
AB,2045,T_MDV_CHRG,2045,1.643259817
AB,2050,T_MDV_CHRG,2045,1.643259817
AB,2050,T_MDV_CHRG,2050,1.643259817
BC,2025,T_HDV_CHRG,2015,1.643259817
BC,2025,T_HDV_CHRG,2020,1.643259817
BC,2030,T_HDV_CHRG,2020,1.643259817
BC,2025,T_HDV_CHRG,2025,1.643259817
BC,2030,T_HDV_CHRG,2025,1.643259817
BC,2035,T_HDV_CHRG,2025,1.643259817
BC,2030,T_HDV_CHRG,2030,1.643259817
BC,2035,T_HDV_CHRG,2030,1.643259817
BC,2040,T_HDV_CHRG,2030,1.643259817
BC,2035,T_HDV_CHRG,2035,1.643259817
BC,2040,T_HDV_CHRG,2035,1.643259817
BC,2045,T_HDV_CHRG,2035,1.643259817
BC,2040,T_HDV_CHRG,2040,1.643259817
BC,2045,T_HDV_CHRG,2040,1.643259817
BC,2050,T_HDV_CHRG,2040,1.643259817
BC,2045,T_HDV_CHRG,2045,1.643259817
BC,2050,T_HDV_CHRG,2045,1.643259817
BC,2050,T_HDV_CHRG,2050,1.643259817
BC,2025,T_LDV_BEV_CHRG,2015,0.8124
BC,2025,T_LDV_BEV_CHRG,2020,0.8124
BC,2030,T_LDV_BEV_CHRG,2020,0.8124
BC,2025,T_LDV_BEV_CHRG,2025,0.6691
BC,2030,T_LDV_BEV_CHRG,2025,0.6691
BC,2035,T_LDV_BEV_CHRG,2025,0.6691
BC,2030,T_LDV_BEV_CHRG,2030,0.525773161
BC,2035,T_LDV_BEV_CHRG,2030,0.525773161
BC,2040,T_LDV_BEV_CHRG,2030,0.525773161
BC,2035,T_LDV_BEV_CHRG,2035,0.525773161
BC,2040,T_LDV_BEV_CHRG,2035,0.525773161
BC,2045,T_LDV_BEV_CHRG,2035,0.525773161
BC,2040,T_LDV_BEV_CHRG,2040,0.525773161
BC,2045,T_LDV_BEV_CHRG,2040,0.525773161
BC,2050,T_LDV_BEV_CHRG,2040,0.525773161
BC,2045,T_LDV_BEV_CHRG,2045,0.525773161
BC,2050,T_LDV_BEV_CHRG,2045,0.525773161
BC,2050,T_LDV_BEV_CHRG,2050,0.525773161
BC,2025,T_LDV_PHEV_CHRG,2020,0.8124
BC,2030,T_LDV_PHEV_CHRG,2020,0.8124
BC,2025,T_LDV_PHEV_CHRG,2025,0.6691
BC,2030,T_LDV_PHEV_CHRG,2025,0.6691
BC,2035,T_LDV_PHEV_CHRG,2025,0.6691
BC,2030,T_LDV_PHEV_CHRG,2030,0.525773161
BC,2035,T_LDV_PHEV_CHRG,2030,0.525773161
BC,2040,T_LDV_PHEV_CHRG,2030,0.525773161
BC,2035,T_LDV_PHEV_CHRG,2035,0.525773161
BC,2040,T_LDV_PHEV_CHRG,2035,0.525773161
BC,2045,T_LDV_PHEV_CHRG,2035,0.525773161
BC,2040,T_LDV_PHEV_CHRG,2040,0.525773161
BC,2045,T_LDV_PHEV_CHRG,2040,0.525773161
BC,2050,T_LDV_PHEV_CHRG,2040,0.525773161
BC,2045,T_LDV_PHEV_CHRG,2045,0.525773161
BC,2050,T_LDV_PHEV_CHRG,2045,0.525773161
BC,2050,T_LDV_PHEV_CHRG,2050,0.525773161
BC,2025,T_MDV_CHRG,2025,1.643259817
BC,2030,T_MDV_CHRG,2025,1.643259817
BC,2035,T_MDV_CHRG,2025,1.643259817
BC,2030,T_MDV_CHRG,2030,1.643259817
BC,2035,T_MDV_CHRG,2030,1.643259817
BC,2040,T_MDV_CHRG,2030,1.643259817
BC,2035,T_MDV_CHRG,2035,1.643259817
BC,2040,T_MDV_CHRG,2035,1.643259817
BC,2045,T_MDV_CHRG,2035,1.643259817
BC,2040,T_MDV_CHRG,2040,1.643259817
BC,2045,T_MDV_CHRG,2040,1.643259817
BC,2050,T_MDV_CHRG,2040,1.643259817
BC,2045,T_MDV_CHRG,2045,1.643259817
BC,2050,T_MDV_CHRG,2045,1.643259817
BC,2050,T_MDV_CHRG,2050,1.643259817
QC,2025,T_HDV_CHRG,2015,1.643259817
QC,2025,T_HDV_CHRG,2020,1.643259817
QC,2030,T_HDV_CHRG,2020,1.643259817
QC,2025,T_HDV_CHRG,2025,1.643259817
QC,2030,T_HDV_CHRG,2025,1.643259817
QC,2035,T_HDV_CHRG,2025,1.643259817
QC,2030,T_HDV_CHRG,2030,1.643259817
QC,2035,T_HDV_CHRG,2030,1.643259817
QC,2040,T_HDV_CHRG,2030,1.643259817
QC,2035,T_HDV_CHRG,2035,1.643259817
QC,2040,T_HDV_CHRG,2035,1.643259817
QC,2045,T_HDV_CHRG,2035,1.643259817
QC,2040,T_HDV_CHRG,2040,1.643259817
QC,2045,T_HDV_CHRG,2040,1.643259817
QC,2050,T_HDV_CHRG,2040,1.643259817
QC,2045,T_HDV_CHRG,2045,1.643259817
QC,2050,T_HDV_CHRG,2045,1.643259817
QC,2050,T_HDV_CHRG,2050,1.643259817
QC,2025,T_LDV_BEV_CHRG,2015,0.8124
QC,2025,T_LDV_BEV_CHRG,2020,0.8124
QC,2030,T_LDV_BEV_CHRG,2020,0.8124
QC,2025,T_LDV_BEV_CHRG,2025,0.6691
QC,2030,T_LDV_BEV_CHRG,2025,0.6691
QC,2035,T_LDV_BEV_CHRG,2025,0.6691
QC,2030,T_LDV_BEV_CHRG,2030,0.525773161
QC,2035,T_LDV_BEV_CHRG,2030,0.525773161
QC,2040,T_LDV_BEV_CHRG,2030,0.525773161
QC,2035,T_LDV_BEV_CHRG,2035,0.525773161
QC,2040,T_LDV_BEV_CHRG,2035,0.525773161
QC,2045,T_LDV_BEV_CHRG,2035,0.525773161
QC,2040,T_LDV_BEV_CHRG,2040,0.525773161
QC,2045,T_LDV_BEV_CHRG,2040,0.525773161
QC,2050,T_LDV_BEV_CHRG,2040,0.525773161
QC,2045,T_LDV_BEV_CHRG,2045,0.525773161
QC,2050,T_LDV_BEV_CHRG,2045,0.525773161
QC,2050,T_LDV_BEV_CHRG,2050,0.525773161
QC,2025,T_LDV_PHEV_CHRG,2015,0.8124
QC,2025,T_LDV_PHEV_CHRG,2020,0.8124
QC,2030,T_LDV_PHEV_CHRG,2020,0.8124
QC,2025,T_LDV_PHEV_CHRG,2025,0.6691
QC,2030,T_LDV_PHEV_CHRG,2025,0.6691
QC,2035,T_LDV_PHEV_CHRG,2025,0.6691
QC,2030,T_LDV_PHEV_CHRG,2030,0.525773161
QC,2035,T_LDV_PHEV_CHRG,2030,0.525773161
QC,2040,T_LDV_PHEV_CHRG,2030,0.525773161
QC,2035,T_LDV_PHEV_CHRG,2035,0.525773161
QC,2040,T_LDV_PHEV_CHRG,2035,0.525773161
QC,2045,T_LDV_PHEV_CHRG,2035,0.525773161
QC,2040,T_LDV_PHEV_CHRG,2040,0.525773161
QC,2045,T_LDV_PHEV_CHRG,2040,0.525773161
QC,2050,T_LDV_PHEV_CHRG,2040,0.525773161
QC,2045,T_LDV_PHEV_CHRG,2045,0.525773161
QC,2050,T_LDV_PHEV_CHRG,2045,0.525773161
QC,2050,T_LDV_PHEV_CHRG,2050,0.525773161
QC,2025,T_MDV_CHRG,2025,1.643259817
QC,2030,T_MDV_CHRG,2025,1.643259817
QC,2035,T_MDV_CHRG,2025,1.643259817
QC,2030,T_MDV_CHRG,2030,1.643259817
QC,2035,T_MDV_CHRG,2030,1.643259817
QC,2040,T_MDV_CHRG,2030,1.643259817
QC,2035,T_MDV_CHRG,2035,1.643259817
QC,2040,T_MDV_CHRG,2035,1.643259817
QC,2045,T_MDV_CHRG,2035,1.643259817
QC,2040,T_MDV_CHRG,2040,1.643259817
QC,2045,T_MDV_CHRG,2040,1.643259817
QC,2050,T_MDV_CHRG,2040,1.643259817
QC,2045,T_MDV_CHRG,2045,1.643259817
QC,2050,T_MDV_CHRG,2045,1.643259817
QC,2050,T_MDV_CHRG,2050,1.643259817
MB,2025,T_HDV_CHRG,2015,1.643259817
MB,2025,T_HDV_CHRG,2020,1.643259817
MB,2030,T_HDV_CHRG,2020,1.643259817
MB,2025,T_HDV_CHRG,2025,1.643259817
MB,2030,T_HDV_CHRG,2025,1.643259817
MB,2035,T_HDV_CHRG,2025,1.643259817
MB,2030,T_HDV_CHRG,2030,1.643259817
MB,2035,T_HDV_CHRG,2030,1.643259817
MB,2040,T_HDV_CHRG,2030,1.643259817
MB,2035,T_HDV_CHRG,2035,1.643259817
MB,2040,T_HDV_CHRG,2035,1.643259817
MB,2045,T_HDV_CHRG,2035,1.643259817
MB,2040,T_HDV_CHRG,2040,1.643259817
MB,2045,T_HDV_CHRG,2040,1.643259817
MB,2050,T_HDV_CHRG,2040,1.643259817
MB,2045,T_HDV_CHRG,2045,1.643259817
MB,2050,T_HDV_CHRG,2045,1.643259817
MB,2050,T_HDV_CHRG,2050,1.643259817
MB,2025,T_LDV_BEV_CHRG,2015,0.8124
MB,2025,T_LDV_BEV_CHRG,2020,0.8124
MB,2030,T_LDV_BEV_CHRG,2020,0.8124
MB,2025,T_LDV_BEV_CHRG,2025,0.6691
MB,2030,T_LDV_BEV_CHRG,2025,0.6691
MB,2035,T_LDV_BEV_CHRG,2025,0.6691
MB,2030,T_LDV_BEV_CHRG,2030,0.525773161
MB,2035,T_LDV_BEV_CHRG,2030,0.525773161
MB,2040,T_LDV_BEV_CHRG,2030,0.525773161
MB,2035,T_LDV_BEV_CHRG,2035,0.525773161
MB,2040,T_LDV_BEV_CHRG,2035,0.525773161
MB,2045,T_LDV_BEV_CHRG,2035,0.525773161
MB,2040,T_LDV_BEV_CHRG,2040,0.525773161
MB,2045,T_LDV_BEV_CHRG,2040,0.525773161
MB,2050,T_LDV_BEV_CHRG,2040,0.525773161
MB,2045,T_LDV_BEV_CHRG,2045,0.525773161
MB,2050,T_LDV_BEV_CHRG,2045,0.525773161
MB,2050,T_LDV_BEV_CHRG,2050,0.525773161
MB,2025,T_LDV_PHEV_CHRG,2025,0.6691
MB,2030,T_LDV_PHEV_CHRG,2025,0.6691
MB,2035,T_LDV_PHEV_CHRG,2025,0.6691
MB,2030,T_LDV_PHEV_CHRG,2030,0.525773161
MB,2035,T_LDV_PHEV_CHRG,2030,0.525773161
MB,2040,T_LDV_PHEV_CHRG,2030,0.525773161
MB,2035,T_LDV_PHEV_CHRG,2035,0.525773161
MB,2040,T_LDV_PHEV_CHRG,2035,0.525773161
MB,2045,T_LDV_PHEV_CHRG,2035,0.525773161
MB,2040,T_LDV_PHEV_CHRG,2040,0.525773161
MB,2045,T_LDV_PHEV_CHRG,2040,0.525773161
MB,2050,T_LDV_PHEV_CHRG,2040,0.525773161
MB,2045,T_LDV_PHEV_CHRG,2045,0.525773161
MB,2050,T_LDV_PHEV_CHRG,2045,0.525773161
MB,2050,T_LDV_PHEV_CHRG,2050,0.525773161
MB,2025,T_MDV_CHRG,2025,1.643259817
MB,2030,T_MDV_CHRG,2025,1.643259817
MB,2035,T_MDV_CHRG,2025,1.643259817
MB,2030,T_MDV_CHRG,2030,1.643259817
MB,2035,T_MDV_CHRG,2030,1.643259817
MB,2040,T_MDV_CHRG,2030,1.643259817
MB,2035,T_MDV_CHRG,2035,1.643259817
MB,2040,T_MDV_CHRG,2035,1.643259817
MB,2045,T_MDV_CHRG,2035,1.643259817
MB,2040,T_MDV_CHRG,2040,1.643259817
MB,2045,T_MDV_CHRG,2040,1.643259817
MB,2050,T_MDV_CHRG,2040,1.643259817
MB,2045,T_MDV_CHRG,2045,1.643259817
MB,2050,T_MDV_CHRG,2045,1.643259817
MB,2050,T_MDV_CHRG,2050,1.643259817
SK,2025,T_HDV_CHRG,2015,1.643259817
SK,2025,T_HDV_CHRG,2020,1.643259817
SK,2030,T_HDV_CHRG,2020,1.643259817
SK,2025,T_HDV_CHRG,2025,1.643259817
SK,2030,T_HDV_CHRG,2025,1.643259817
SK,2035,T_HDV_CHRG,2025,1.643259817
SK,2030,T_HDV_CHRG,2030,1.643259817
SK,2035,T_HDV_CHRG,2030,1.643259817
SK,2040,T_HDV_CHRG,2030,1.643259817
SK,2035,T_HDV_CHRG,2035,1.643259817
SK,2040,T_HDV_CHRG,2035,1.643259817
SK,2045,T_HDV_CHRG,2035,1.643259817
SK,2040,T_HDV_CHRG,2040,1.643259817
SK,2045,T_HDV_CHRG,2040,1.643259817
SK,2050,T_HDV_CHRG,2040,1.643259817
SK,2045,T_HDV_CHRG,2045,1.643259817
SK,2050,T_HDV_CHRG,2045,1.643259817
SK,2050,T_HDV_CHRG,2050,1.643259817
SK,2025,T_LDV_BEV_CHRG,2015,0.8124
SK,2025,T_LDV_BEV_CHRG,2020,0.8124
SK,2030,T_LDV_BEV_CHRG,2020,0.8124
SK,2025,T_LDV_BEV_CHRG,2025,0.6691
SK,2030,T_LDV_BEV_CHRG,2025,0.6691
SK,2035,T_LDV_BEV_CHRG,2025,0.6691
SK,2030,T_LDV_BEV_CHRG,2030,0.525773161
SK,2035,T_LDV_BEV_CHRG,2030,0.525773161
SK,2040,T_LDV_BEV_CHRG,2030,0.525773161
SK,2035,T_LDV_BEV_CHRG,2035,0.525773161
SK,2040,T_LDV_BEV_CHRG,2035,0.525773161
SK,2045,T_LDV_BEV_CHRG,2035,0.525773161
SK,2040,T_LDV_BEV_CHRG,2040,0.525773161
SK,2045,T_LDV_BEV_CHRG,2040,0.525773161
SK,2050,T_LDV_BEV_CHRG,2040,0.525773161
SK,2045,T_LDV_BEV_CHRG,2045,0.525773161
SK,2050,T_LDV_BEV_CHRG,2045,0.525773161
SK,2050,T_LDV_BEV_CHRG,2050,0.525773161
SK,2025,T_LDV_PHEV_CHRG,2025,0.6691
SK,2030,T_LDV_PHEV_CHRG,2025,0.6691
SK,2035,T_LDV_PHEV_CHRG,2025,0.6691
SK,2030,T_LDV_PHEV_CHRG,2030,0.525773161
SK,2035,T_LDV_PHEV_CHRG,2030,0.525773161
SK,2040,T_LDV_PHEV_CHRG,2030,0.525773161
SK,2035,T_LDV_PHEV_CHRG,2035,0.525773161
SK,2040,T_LDV_PHEV_CHRG,2035,0.525773161
SK,2045,T_LDV_PHEV_CHRG,2035,0.525773161
SK,2040,T_LDV_PHEV_CHRG,2040,0.525773161
SK,2045,T_LDV_PHEV_CHRG,2040,0.525773161
SK,2050,T_LDV_PHEV_CHRG,2040,0.525773161
SK,2045,T_LDV_PHEV_CHRG,2045,0.525773161
SK,2050,T_LDV_PHEV_CHRG,2045,0.525773161
SK,2050,T_LDV_PHEV_CHRG,2050,0.525773161
SK,2025,T_MDV_CHRG,2025,1.643259817
SK,2030,T_MDV_CHRG,2025,1.643259817
SK,2035,T_MDV_CHRG,2025,1.643259817
SK,2030,T_MDV_CHRG,2030,1.643259817
SK,2035,T_MDV_CHRG,2030,1.643259817
SK,2040,T_MDV_CHRG,2030,1.643259817
SK,2035,T_MDV_CHRG,2035,1.643259817
SK,2040,T_MDV_CHRG,2035,1.643259817
SK,2045,T_MDV_CHRG,2035,1.643259817
SK,2040,T_MDV_CHRG,2040,1.643259817
SK,2045,T_MDV_CHRG,2040,1.643259817
SK,2050,T_MDV_CHRG,2040,1.643259817
SK,2045,T_MDV_CHRG,2045,1.643259817
SK,2050,T_MDV_CHRG,2045,1.643259817
SK,2050,T_MDV_CHRG,2050,1.643259817
NLLAB,2025,T_HDV_CHRG,2015,1.643259817
NLLAB,2025,T_HDV_CHRG,2020,1.643259817
NLLAB,2030,T_HDV_CHRG,2020,1.643259817
NLLAB,2025,T_HDV_CHRG,2025,1.643259817
NLLAB,2030,T_HDV_CHRG,2025,1.643259817
NLLAB,2035,T_HDV_CHRG,2025,1.643259817
NLLAB,2030,T_HDV_CHRG,2030,1.643259817
NLLAB,2035,T_HDV_CHRG,2030,1.643259817
NLLAB,2040,T_HDV_CHRG,2030,1.643259817
NLLAB,2035,T_HDV_CHRG,2035,1.643259817
NLLAB,2040,T_HDV_CHRG,2035,1.643259817
NLLAB,2045,T_HDV_CHRG,2035,1.643259817
NLLAB,2040,T_HDV_CHRG,2040,1.643259817
NLLAB,2045,T_HDV_CHRG,2040,1.643259817
NLLAB,2050,T_HDV_CHRG,2040,1.643259817
NLLAB,2045,T_HDV_CHRG,2045,1.643259817
NLLAB,2050,T_HDV_CHRG,2045,1.643259817
NLLAB,2050,T_HDV_CHRG,2050,1.643259817
NLLAB,2025,T_LDV_BEV_CHRG,2015,0.8124
NLLAB,2025,T_LDV_BEV_CHRG,2020,0.8124
NLLAB,2030,T_LDV_BEV_CHRG,2020,0.8124
NLLAB,2025,T_LDV_BEV_CHRG,2025,0.6691
NLLAB,2030,T_LDV_BEV_CHRG,2025,0.6691
NLLAB,2035,T_LDV_BEV_CHRG,2025,0.6691
NLLAB,2030,T_LDV_BEV_CHRG,2030,0.525773161
NLLAB,2035,T_LDV_BEV_CHRG,2030,0.525773161
NLLAB,2040,T_LDV_BEV_CHRG,2030,0.525773161
NLLAB,2035,T_LDV_BEV_CHRG,2035,0.525773161
NLLAB,2040,T_LDV_BEV_CHRG,2035,0.525773161
NLLAB,2045,T_LDV_BEV_CHRG,2035,0.525773161
NLLAB,2040,T_LDV_BEV_CHRG,2040,0.525773161
NLLAB,2045,T_LDV_BEV_CHRG,2040,0.525773161
NLLAB,2050,T_LDV_BEV_CHRG,2040,0.525773161
NLLAB,2045,T_LDV_BEV_CHRG,2045,0.525773161
NLLAB,2050,T_LDV_BEV_CHRG,2045,0.525773161
NLLAB,2050,T_LDV_BEV_CHRG,2050,0.525773161
NLLAB,2025,T_LDV_PHEV_CHRG,2020,0.8124
