region,tech,vintage,lifetime,notes
AB,T_LDV_LTF_FCEV400_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_EX,2010.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_HEV_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_HEV_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_HEV_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_HEV_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_HEV_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_HEV_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_HEV_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_HEV_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV35_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV35_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV35_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV35_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV35_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV35_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV35_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV50_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV50_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV50_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV50_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV50_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_GSL_PHEV50_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV150_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV150_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV150_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV150_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV150_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV150_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV200_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV200_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV200_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV200_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV200_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV200_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV300_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV300_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV300_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV300_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV300_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV300_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV300_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV300_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV400_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV400_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV400_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV400_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV400_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_BEV400_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_CNG_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_CNG_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_CNG_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_CNG_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_CNG_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_CNG_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_EX,2010.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_DSL_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_FCEV400_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_FCEV400_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_FCEV400_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_FCEV400_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_FCEV400_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_FCEV400_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_EX,2010.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_HEV_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_HEV_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_HEV_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_HEV_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_HEV_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_HEV_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_HEV_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_HEV_N,2050.0,26,(y) age when vehicles have 0% survival rate
