original,replace
T_D_pj_off,Off Road
T_D_pkm_hdv_aj,Aircraft
T_D_pkm_hdv_bic,Bus
T_D_pkm_hdv_bs,Bus
T_D_pkm_hdv_bt,Bus
T_D_pkm_hdv_r,Rail
T_D_pkm_ldv_c,Cars
T_D_pkm_ldv_m,Motorcyles
T_D_pkm_ldv_t,Trucks
T_D_tkm_hdv_aj,Aircraft
T_D_tkm_hdv_r,Rail
T_D_tkm_hdv_t,HDV Trucks
T_D_tkm_hdv_wt,Boats
T_D_tkm_ldv_t,LDV Trucks
T_D_tkm_mdv_t,MDV Trucks
