,scenario,region,sector,period,tech,vintage,capacity
518,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV50_N,2050,0.0015222775791003977
519,zulu,ON,transportation,2045,T_LDV_LTP_GSL_N,2035,0.00025584931690482014
528,zulu,ON,transportation,2045,T_LDV_LTP_BEV200_N,2040,0.0005442433610892902
529,zulu,ON,transportation,2045,T_LDV_C_DSL_N,2045,0.00013297373755831915
530,zulu,ON,transportation,2030,T_LDV_LTP_GSL_HEV_EX,2015,0.6586895914
547,zulu,ON,transportation,2050,T_LDV_C_GSL_HEV_N,2040,240.1591058863927
549,zulu,ON,transportation,2045,T_LDV_LTP_DSL_N,2045,0.00014287227583912237
553,zulu,ON,transportation,2050,T_LDV_C_BEV150_N,2040,189.21831434449533
555,zulu,ON,transportation,2040,T_LDV_C_BEV300_N,2040,709.5686786914905
561,zulu,ON,transportation,2045,T_LDV_LTP_GSL_HEV_N,2045,1731.4444071621756
564,zulu,ON,transportation,2040,T_LDV_LTP_FCEV400_N,2030,0.0006048952100481882
577,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV50_N,2040,0.0007655617016842035
586,zulu,ON,transportation,2035,T_LDV_LTP_BEV400_N,2035,0.0022932365507247494
591,zulu,ON,transportation,2030,T_LDV_LTP_GSL_N,2025,0.0002168461392712559
598,zulu,ON,transportation,2045,T_LDV_LTP_BEV300_N,2045,0.0032882731736998583
601,zulu,ON,transportation,2045,T_LDV_LTP_DSL_N,2035,0.00020714415918377354
604,zulu,ON,transportation,2040,T_LDV_C_BEV300_N,2030,0.0013708720588348979
606,zulu,ON,transportation,2025,T_LDV_C_BEV300_N,2025,0.0006001421746209145
611,zulu,ON,transportation,2045,T_LDV_LTP_GSL_HEV_N,2035,1907.7165525362868
630,zulu,ON,transportation,2030,T_LDV_C_GSL_N,2030,0.00021977696671381813
640,zulu,ON,transportation,2035,T_LDV_LTP_GSL_PHEV35_N,2030,1299.2646081531423
654,zulu,ON,transportation,2040,T_LDV_C_BEV200_N,2035,89.64158422410249
655,zulu,ON,transportation,2045,T_LDV_LTP_BEV300_N,2035,0.0017199376756484388
656,zulu,ON,transportation,2030,T_LDV_LTP_BEV300_N,2030,0.0005872076042042051
676,zulu,ON,transportation,2040,T_LDV_LTP_CNG_N,2035,0.000602024763377938
681,zulu,ON,transportation,2030,T_LDV_LTP_GSL_HEV_N,2025,0.0011161374012745747
693,zulu,ON,transportation,2045,T_LDV_LTP_FCEV400_N,2040,0.0004655917230519959
697,zulu,ON,transportation,2030,T_LDV_C_BEV150_N,2025,0.0002000555209483085
705,zulu,ON,transportation,2030,T_LDV_LTP_BEV150_N,2025,5.961072970005552e-05
711,zulu,ON,transportation,2025,T_LDV_C_BEV400_N,2025,0.0008001858232430352
722,zulu,ON,transportation,2030,T_LDV_LTP_GSL_PHEV50_N,2025,0.001079028347725674
730,zulu,ON,transportation,2025,T_LDV_C_BEV150_EX,2020,37.180792833
734,zulu,ON,transportation,2030,T_LDV_LTP_BEV200_N,2030,0.00039147458953435905
