,scenario,region,sector,period,tech,vintage,capacity
2187,zulu,ON,transportation,2030,T_LDV_C_CNG_N,2030,0.00026462005115092147
2193,zulu,ON,transportation,2045,T_LDV_LTP_FCEV400_N,2035,0.0001826910779075969
2200,zulu,ON,transportation,2040,T_LDV_LTP_BEV400_N,2025,4.767564023233179e-05
2229,zulu,ON,transportation,2025,T_LDV_C_BEV150_EX,2015,2.9088975896000004
2233,zulu,ON,transportation,2030,T_LDV_LTP_BEV200_N,2025,0.00011919957153541754
2243,zulu,ON,transportation,2030,T_LDV_LTP_GSL_EX,2020,1570.01071173
2245,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV35_N,2045,6.716196386318457
2277,zulu,ON,transportation,2040,T_LDV_C_FCEV400_N,2040,0.0006405976859772153
2286,zulu,ON,transportation,2045,T_LDV_LTP_BEV400_N,2045,0.0043843624656112815
2287,zulu,ON,transportation,2040,T_LDV_LTP_GSL_N,2035,0.00025584931690482014
2297,zulu,ON,transportation,2025,T_LDV_LTP_GSL_HEV_EX,2015,3.293447957
2298,zulu,ON,transportation,2045,T_LDV_C_BEV400_N,2045,811.1375186903675
2301,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV35_N,2035,11.844754937025652
2305,zulu,ON,transportation,2035,T_LDV_C_BEV400_N,2035,179.28316847554066
2327,zulu,ON,transportation,2035,T_LDV_C_GSL_HEV_N,2030,1492.7605628443828
2329,zulu,ON,transportation,2050,T_LDV_LTP_BEV150_N,2035,0.00011466413057708118
2332,zulu,ON,transportation,2045,T_LDV_LTP_BEV400_N,2035,0.0022932365507247494
2336,zulu,ON,transportation,2040,T_LDV_LTP_GSL_N,2025,4.3369227854251184e-05
2344,zulu,ON,transportation,2045,T_LDV_C_BEV400_N,2035,143.42653478043255
2346,zulu,ON,transportation,2030,T_LDV_C_BEV400_N,2030,0.0022847833967645902
2347,zulu,ON,transportation,2025,T_LDV_LTP_GSL_N,2025,0.0002168461392712559
2350,zulu,ON,transportation,2050,T_LDV_C_GSL_PHEV35_N,2050,0.0010459498556083524
2354,zulu,ON,transportation,2050,T_LDV_LTP_BEV200_N,2040,0.0005442433610892902
2357,zulu,ON,transportation,2035,T_LDV_C_BEV400_N,2025,0.0006401486585944282
2360,zulu,ON,transportation,2040,T_LDV_LTP_DSL_N,2035,0.00020714415918377354
2371,zulu,ON,transportation,2040,T_LDV_C_GSL_N,2030,0.00017582157337105452
2372,zulu,ON,transportation,2040,T_LDV_LTP_GSL_HEV_N,2035,1907.7165525362868
2379,zulu,ON,transportation,2045,T_LDV_LTP_GSL_PHEV35_N,2030,259.8529216306285
2390,zulu,ON,transportation,2050,T_LDV_C_GSL_PHEV50_N,2045,0.00043314532346907164
2392,zulu,ON,transportation,2030,T_LDV_LTP_GSL_PHEV35_N,2030,1299.2646081531423
2408,zulu,ON,transportation,2050,T_LDV_C_GSL_PHEV35_N,2040,0.0008327439815303432
2417,zulu,ON,transportation,2030,T_LDV_LTP_BEV300_EX,2020,4.376519583
2427,zulu,ON,transportation,2040,T_LDV_LTP_BEV300_N,2035,0.0017199376756484388
2430,zulu,ON,transportation,2040,T_LDV_LTP_DSL_N,2025,3.401430450631861e-05
2445,zulu,ON,transportation,2040,T_LDV_LTP_GSL_HEV_N,2025,0.00022322748025491493
2457,zulu,ON,transportation,2040,T_LDV_C_CNG_N,2035,0.00025909876882104505
2469,zulu,ON,transportation,2040,T_LDV_LTP_FCEV400_N,2040,0.0004655917230519959
2477,zulu,ON,transportation,2025,T_LDV_C_BEV150_N,2025,0.0002000555209483085
2487,zulu,ON,transportation,2025,T_LDV_LTP_BEV150_N,2025,5.961072970005552e-05
2492,zulu,ON,transportation,2035,T_LDV_LTP_CNG_N,2035,0.000602024763377938
2497,zulu,ON,transportation,2040,T_LDV_LTP_BEV300_N,2025,3.575773557610543e-05
2501,zulu,ON,transportation,2050,T_LDV_C_BEV400_N,2045,811.1375186903675
2509,zulu,ON,transportation,2025,T_LDV_LTP_GSL_PHEV50_N,2025,0.001079028347725674
2526,zulu,ON,transportation,2025,T_LDV_C_CNG_N,2025,0.0005022776375275751
2532,zulu,ON,transportation,2045,T_LDV_C_GSL_N,2040,0.0003149548863924849
2540,zulu,ON,transportation,2050,T_LDV_C_BEV300_N,2050,853.8870738779417
2552,zulu,ON,transportation,2045,T_LDV_C_GSL_HEV_N,2045,38.550115886350795
2555,zulu,ON,transportation,2035,T_LDV_LTP_CNG_N,2025,0.0009074092251452712
2575,zulu,ON,transportation,2025,T_LDV_C_FCEV400_N,2025,0.00013813974599346116
2582,zulu,ON,transportation,2030,T_LDV_C_GSL_PHEV35_N,2025,0.0023822805455799285
2589,zulu,ON,transportation,2045,T_LDV_C_BEV200_N,2040,473.0457857943479
2593,zulu,ON,transportation,2025,T_LDV_C_GSL_HEV_EX,2020,47.605437559
2599,zulu,ON,transportation,2050,T_LDV_C_BEV300_N,2040,567.6549429531924
2606,zulu,ON,transportation,2045,T_LDV_C_GSL_HEV_N,2035,1494.4455662365244
2628,zulu,ON,transportation,2045,T_LDV_C_BEV150_N,2040,236.52289293061915
2633,zulu,ON,transportation,2040,T_LDV_LTP_BEV400_N,2040,0.001088482268871087
2643,zulu,ON,transportation,2040,T_LDV_C_BEV400_N,2040,946.0915715893268
2646,zulu,ON,transportation,2035,T_LDV_LTP_BEV150_N,2030,0.00019574268273201754
2647,zulu,ON,transportation,2045,T_LDV_LTP_GSL_PHEV50_N,2040,0.0007655617016842035
2670,zulu,ON,transportation,2035,T_LDV_LTP_BEV200_N,2035,0.0011466294035684076
2671,zulu,ON,transportation,2050,T_LDV_LTP_CNG_N,2045,0.00036085238715793315
2680,zulu,ON,transportation,2030,T_LDV_C_GSL_HEV_N,2025,2439.792597474624
2686,zulu,ON,transportation,2035,T_LDV_C_CNG_N,2030,0.00026462005115092147
2687,zulu,ON,transportation,2040,T_LDV_LTP_BEV400_N,2030,0.0007829399647869549
2697,zulu,ON,transportation,2040,T_LDV_C_BEV400_N,2030,0.0018278267174116722
2700,zulu,ON,transportation,2045,T_LDV_LTP_GSL_PHEV50_N,2030,0.0003176388646029911
2706,zulu,ON,transportation,2035,T_LDV_C_FCEV400_N,2030,0.0002893771160214797
2712,zulu,ON,transportation,2035,T_LDV_C_GSL_PHEV35_N,2035,0.0012320449067291205
2714,zulu,ON,transportation,2025,T_LDV_LTP_GSL_PHEV35_EX,2015,0.081861184
2720,zulu,ON,transportation,2035,T_LDV_LTP_BEV200_N,2025,0.00011919957153541754
2721,zulu,ON,transportation,2040,T_LDV_LTP_GSL_PHEV35_N,2025,327.2627360006507
2733,zulu,ON,transportation,2035,T_LDV_C_DSL_N,2035,0.00020015283594667656
2735,zulu,ON,transportation,2025,T_LDV_LTP_GSL_PHEV35_N,2025,1636.3136800032535
2741,zulu,ON,transportation,2030,T_LDV_LTP_DSL_EX,2020,58.095394415
2742,zulu,ON,transportation,2035,T_LDV_LTP_DSL_N,2030,0.0001532743347821315
2756,zulu,ON,transportation,2025,T_LDV_LTP_FCEV400_N,2025,0.0001532312664949973
2761,zulu,ON,transportation,2035,T_LDV_C_GSL_PHEV50_N,2030,0.001009900651145524
2762,zulu,ON,transportation,2050,T_LDV_LTP_BEV150_N,2050,0.00038278316591804426
2791,zulu,ON,transportation,2035,T_LDV_C_DSL_N,2025,0.00022650252321779714
2793,zulu,ON,transportation,2030,T_LDV_C_BEV200_N,2030,0.0011423964986425172
2797,zulu,ON,transportation,2050,T_LDV_C_CNG_N,2050,0.00029145529197904937
2807,zulu,ON,transportation,2045,T_LDV_LTP_GSL_PHEV35_N,2045,6.716196386318457
2817,zulu,ON,transportation,2045,T_LDV_LTP_CNG_N,2035,0.000602024763377938
2818,zulu,ON,transportation,2050,T_LDV_LTP_BEV150_N,2040,0.0002721244071694528
2820,zulu,ON,transportation,2030,T_LDV_LTP_CNG_N,2030,0.00047062152367972155
2831,zulu,ON,transportation,2050,T_LDV_C_FCEV400_N,2050,0.0012044340858603717
2841,zulu,ON,transportation,2050,T_LDV_LTP_BEV200_N,2045,0.002192184007027707
2847,zulu,ON,transportation,2030,T_LDV_C_GSL_EX,2020,1326.5625627640002
2849,zulu,ON,transportation,2050,T_LDV_LTP_GSL_N,2045,0.00022572710381212914
2863,zulu,ON,transportation,2050,T_LDV_LTP_DSL_N,2050,0.00016051312161754485
2869,zulu,ON,transportation,2045,T_LDV_LTP_GSL_PHEV35_N,2035,59.223774685128255
2877,zulu,ON,transportation,2035,T_LDV_LTP_GSL_PHEV35_EX,2020,0.885424269
2881,zulu,ON,transportation,2040,T_LDV_C_GSL_HEV_N,2040,300.19888235799084
2887,zulu,ON,transportation,2050,T_LDV_C_GSL_PHEV50_N,2050,0.0007708409293884231
2891,zulu,ON,transportation,2045,T_LDV_C_CNG_N,2045,0.00024225485358362632
2900,zulu,ON,transportation,2035,T_LDV_C_BEV300_N,2035,134.46237633487274
2903,zulu,ON,transportation,2050,T_LDV_C_FCEV400_N,2040,0.0005124781487817722
2916,zulu,ON,transportation,2050,T_LDV_LTP_GSL_N,2035,5.116986338096403e-05
2917,zulu,ON,transportation,2035,T_LDV_LTP_FCEV400_N,2030,0.0006048952100481882
2923,zulu,ON,transportation,2050,T_LDV_C_DSL_N,2045,0.00013297373755831915
2927,zulu,ON,transportation,2050,T_LDV_LTP_BEV300_N,2050,0.001148338417073457
2931,zulu,ON,transportation,2050,T_LDV_LTP_DSL_N,2040,0.00012538875477413288
2937,zulu,ON,transportation,2050,T_LDV_C_BEV200_N,2045,405.5687593766407
2938,zulu,ON,transportation,2040,T_LDV_C_CNG_N,2040,0.0003565589866037923
2942,zulu,ON,transportation,2040,T_LDV_C_GSL_HEV_N,2030,1194.2084502755063
